IDENTIFIER	GSM19023	GSM19024	GSM19025	GSM19026
CD3G	7046.7	5672.4	743.4	592.9
ITIH3	104.3	169.3	170.2	80.3
RYR1	404.6	328.8	309.6	398.1
INTS7	823.2	850	407.5	431.3
TRAF4	1460.6	1377.4	879.3	803
CDH11	164.7	98	26.6	131
IRF2BP1	2418.3	2669.4	2749.8	2717.8
SOX2	475.6	457.7	451.8	479.7
KLF3	385.4	385.3	290.4	439.5
KLF3	1730.2	1221.6	1202.8	1214.3
LAPTM5	9441.8	10448.8	2852	3366.2
IFI35	1246.1	1131.7	903.9	788.1
TLK2	836.1	951.9	672	604.4
YES1	694.5	664.8	858.6	966.9
MMP11	149.3	211.5	244.3	307.1
MYBPH	273.6	296.8	360	403
MTF1	836.9	689	764.5	1003.6
VCAN	428	906.2	798.1	1052.3
SLC4A2	1437.6	1295	1433.7	1251.5
CHRNA1	91	156.1	56.7	37.9
CISH	2371.8	1532.6	3009.6	2561.4
MYBL2	535	483	208.6	35.4
SHROOM3	1788.7	2662.1	2966.4	3297.5
BCAT1	651.8	827	239	85.2
PEX14	3066.7	2195.2	2988.3	3100.7
PEX14	315.7	170.2	221.3	211.3
PEX14	3478.8	4336.2	3361.3	3696.2
UPP1	98.1	52.6	560	88.9
SP1	2081	2401.7	1544.2	1450.9
MSH2	1452.3	1372.7	981.9	792.7
SERPINB5	30.8	27.9	11.5	34
NPR1	11.8	68.2	75.1	127.6
DDX18	411.7	543.9	283	374.1
CNPY2	4734.1	4099.3	3048.4	4013.1
MRPL17	798.4	787.1	1087.1	966.6
SLC25A39	6414.1	5211	11638.3	10227.6
HAGH	1818.8	2119.4	2157.9	2216.1
PSAPL1	919.2	1001.6	562.9	1040.3
CLDN11	93	72	122.2	53.9
MTHFD2	3447	3253.9	724.8	781.8
SNAP25	26.1	22.7	20.8	24.1
GM9392	731.1	721.2	452.1	590.8
HMGA1	6.8	3.6	21.9	16.7
ID1	1994.7	1738.8	3192.4	2638
STOM	4055.9	4558.3	6170.3	7148.3
STOM	19.3	16.7	47.4	44.5
D2WSU81E	390.4	286.3	131.4	116.6
FBXW2	2440.8	1815.8	2304.9	2081.7
NSMCE1	3253.4	3220.9	2187.9	2274.1
FAM220A	631.4	674.3	933.4	839.1
CYBA	9490.6	7974.9	3584.8	3423.3
KLK1	87.5	53.3	4.3	15.2
KLK1	481.2	516.7	314.5	98
MCM3	2349.3	2370	484.9	375.6
GJA1	30757.6	27581.3	43254.1	42433.5
GJA1	2325.2	4323.9	4679.4	3995.4
GART	2305.9	2059.1	1946.6	1662.6
AKR1B3	37.7	37	42.7	36.1
ALDH1A1	4939	5120	10849.3	11274
CYP2F2	3159.3	2305.7	5035.4	4045.1
MUP19	122.4	77.7	71.4	64.5
CIAO1	2274.9	2414.3	2348.6	2829.5
N6AMT2	1117.1	1453.2	1299.1	1158.1
TMED9	2946.1	3063.7	2386.2	2392.9
APOA4	71.3	264.3	273.8	407.1
NDUFB9	26876.2	27275.1	49479.9	48595.5
BPIFA2	158.5	115	95.9	214.8
STIP1	1885.2	2068.3	1519.6	1639.1
HNF1A	533.7	446.3	367.9	650.8
EZR	6568.7	6987.9	2615.3	2696.7
GGT1	136.6	64.8	43.8	260.4
LRPAP1	1394.5	1407.3	2454.9	2334.6
PPP1CB	7490.3	10830.3	9593.4	10512.5
PPIC	1490.6	1943.9	1966.1	2271.8
SLC35B1	4504.2	4761.8	5535.2	5580.9
CDK16	1996.2	1988.2	3188.6	3202
SUPT5	4212.6	3438.5	4435.3	3304.8
SCARB1	1734.9	1400.8	2080.3	3190.3
